================================================================================
                      PLUS33 ERP DEMO CREDENTIALS
================================================================================

ADMINISTRATIVE ACCOUNTS (Password for all: pass123):
----------------------------------------------------
1. Ultimate Administrator
   Username: ultimate123@plus33.com
   Role:     ULTIMATE_ADMIN
   Scope:    Global access to all companies, regions, and stores.

2. National Administrators (Manage entire countries):
   - France National Admin:
     Username: regional_eu@plus33.com
     Role:     NATIONAL_ADMIN
     Country:  France (FR_COUNTRY)
   - India National Admin:
     Username: regional_ind@plus33.com
     Role:     NATIONAL_ADMIN
     Country:  India (IN_COUNTRY)
   - UAE National Admin:
     Username: regional_dxb@plus33.com
     Role:     NATIONAL_ADMIN
     Country:  UAE (AE_COUNTRY)

3. Regional Administrators (Manage specific sub-regions):
   - Dubai Region Regional Admin:
     Username: regional_dubai@plus33.com
     Role:     REGIONAL_ADMIN
     Region:   Dubai Region (UAE_DUBAI)
   - North France Regional Admin:
     Username: regional_north_fr@plus33.com
     Role:     REGIONAL_ADMIN
     Region:   North France (FR_NORTH)
   - South India Regional Admin:
     Username: regional_south_ind@plus33.com
     Role:     REGIONAL_ADMIN
     Region:   South India (IN_SOUTH)

SEEDED REGIONS, SUB-REGIONS & STORES:
-------------------------------------
1. France (FR_COUNTRY)
    - Sub-Region: Auvergne-Rhone-Alpes (FR_REG_3) -> ST_FR_REG_3_01 (Auvergne-Rhone-Alpes Store 01)
    - Sub-Region: Ile-de-France (FR_REG_1) -> ST_FR_REG_1_01 (Ile-de-France Store 01)
    - Sub-Region: North France (FR_NORTH) -> ST_EU_01 (Paris Flagship Store)
    - Sub-Region: Provence-Alpes-Cote d'Azur (FR_REG_2) -> ST_FR_REG_2_01 (Provence-Alpes-Cote d'Azur Store 01)
2. India (IN_COUNTRY)
    - Sub-Region: East India (IN_REG_3) -> ST_IN_REG_3_01 (East India Store 01)
    - Sub-Region: North India (IN_REG_2) -> ST_IN_REG_2_01 (North India Store 01)
    - Sub-Region: South India (IN_SOUTH) -> ST_IND_01 (Mumbai Hub Store)
    - Sub-Region: West India (IN_REG_1) -> ST_IN_REG_1_01 (West India Store 01)
3. UAE (AE_COUNTRY)
    - Sub-Region: Abu Dhabi Region (AE_REG_1) -> ST_AE_REG_1_01 (Abu Dhabi Region Store 01)
    - Sub-Region: Ajman Region (AE_REG_3) -> ST_AE_REG_3_01 (Ajman Region Store 01)
    - Sub-Region: Dubai Region (UAE_DUBAI) -> ST_DXB_01 (Dubai Mall Store)
    - Sub-Region: Sharjah Region (AE_REG_2) -> ST_AE_REG_2_01 (Sharjah Region Store 01)

================================================================================
              LIST OF ALL STORE EMPLOYEES & STORE ADMINS
================================================================================
Password for all accounts below: pass123
Format: [Email] | [Role] | [Designation] | [Store Code] | [Store Name] | [Region/Country]
emp7_st_in_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_1_01 | West India Store 01 | West India (India)
emp8_st_in_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_1_01 | West India Store 01 | West India (India)
emp9_st_in_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_1_01 | West India Store 01 | West India (India)
sup1_st_in_reg_1_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_1_01 | West India Store 01 | West India (India)
sup2_st_in_reg_1_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_1_01 | West India Store 01 | West India (India)
sup3_st_in_reg_1_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_1_01 | West India Store 01 | West India (India)
admin_st_in_reg_1_01@plus33.com | STORE_ADMIN | Store Manager | ST_IN_REG_1_01 | West India Store 01 | West India (India)
emp10_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp11_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp12_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp13_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp14_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp15_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp16_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp17_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp18_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp19_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp1_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp20_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp21_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp22_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp23_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp24_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp25_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp26_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp2_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp3_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp4_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp5_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp6_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp7_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp8_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp9_st_in_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_2_01 | North India Store 01 | North India (India)
sup1_st_in_reg_2_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_2_01 | North India Store 01 | North India (India)
sup2_st_in_reg_2_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_2_01 | North India Store 01 | North India (India)
sup3_st_in_reg_2_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_2_01 | North India Store 01 | North India (India)
admin_st_in_reg_2_01@plus33.com | STORE_ADMIN | Store Manager | ST_IN_REG_2_01 | North India Store 01 | North India (India)
emp10_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp11_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp12_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp13_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp14_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp15_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp16_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp17_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp18_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp19_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp1_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp20_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp21_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp22_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp23_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp24_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp25_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp26_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp2_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp3_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp4_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp5_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp6_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp7_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp8_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
emp9_st_in_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_IN_REG_3_01 | East India Store 01 | East India (India)
sup1_st_in_reg_3_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_3_01 | East India Store 01 | East India (India)
sup2_st_in_reg_3_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_3_01 | East India Store 01 | East India (India)
sup3_st_in_reg_3_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_IN_REG_3_01 | East India Store 01 | East India (India)
admin_st_in_reg_3_01@plus33.com | STORE_ADMIN | Store Manager | ST_IN_REG_3_01 | East India Store 01 | East India (India)
--------------------------------------------------------------------------------
Total Seeded Operational Accounts: 360
================================================================================

